"","SampleID","Site","Treatment","TREATMENT_PHASE","inctime_hours","DryMass_SoilOnly_g","CO2_flux_mgC_hr","cumCO2_flux_mgC_gSoil","CO2_flux_mgC_gSoil_hr"
"173","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",339.73,209.99,26.8395425886773,44.8024748213207,0.127813432014273
"174","C12","CPCRW","saturation","SATURATION_INCUBATION",243.97,232.06,1.20295916870202,8.12201368929633,0.00518382818539182
"175","C11","CPCRW","saturation","SATURATION_INCUBATION",244.15,150.55,1.81931222169142,10.6563885097696,0.0120844385366418
"176","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",339.73,278.9,0.499361710187903,3.15189818971339,0.00179046866327681
"177","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",339.89,320.73,1.65193868875783,3.03765284579178,0.00515055869035583
"178","C11","CPCRW","saturation","SATURATION_INCUBATION",288.75,150.55,5.78824802748255,12.3711401671972,0.0384473465790936
"179","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",384.33,168.51,1.50155633326675,7.45352650942643,0.00891078472059076
"180","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",384.46,213.67,1.45028425399421,4.90271167371587,0.00678749592359346
"181","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",384.58,209.99,0.42444574760337,44.8931286228351,0.00202126647746736
"182","C12","CPCRW","saturation","SATURATION_INCUBATION",288.87,232.06,17.6137609804882,11.5300024336897,0.0759017537726803
"183","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",384.67,320.73,3.72912752816427,3.55830988040406,0.0116269994330567
"184","C15","CPCRW","saturation","SATURATION_INCUBATION",288.89,156.34,2.61001283305109,51.2171798866965,0.0166944661190424
"185","C14","CPCRW","saturation","SATURATION_INCUBATION",288.53,233.1,0.668879137632496,2.85829928158539,0.00286949436993778
"186","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",384.67,278.9,2.88927525542845,3.61745584471143,0.0103595383844692
"187","C13","CPCRW","saturation","SATURATION_INCUBATION",289.19,138.96,7.65909479301162,20.3375920528046,0.0551172624712984
"188","C11","CPCRW","saturation","SATURATION_INCUBATION",289.38,150.55,5.5865789588481,12.3945180798114,0.0371077978003859
"189","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",384.96,168.51,1.14744406385554,7.4578164017784,0.00680935293962106
"190","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",385.08,213.67,0.887298574923331,4.90528632208229,0.00415265865551238
"191","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",385.21,209.99,0.508439786646955,44.8946540148328,0.00242125713913498
"192","C12","CPCRW","saturation","SATURATION_INCUBATION",289.49,232.06,9.59208277941332,11.5556298202416,0.0413344944385647
"193","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",385.29,320.73,2.05116960503311,3.56227497613916,0.00639531570178377
"194","C15","CPCRW","saturation","SATURATION_INCUBATION",289.51,156.34,0.157975291606863,51.2178063717982,0.00101045984141527
"195","C14","CPCRW","saturation","SATURATION_INCUBATION",289.15,233.1,3.9801430063145,2.86888567653998,0.0170748305719198
"196","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",385.29,278.9,2.41229941053388,3.62281843214252,0.00864933456627421
"197","C13","CPCRW","saturation","SATURATION_INCUBATION",289.81,138.96,3.76437444746087,20.3543876210071,0.0270896261331381
"198","C11","CPCRW","saturation","SATURATION_INCUBATION",290,150.55,3.55849411480084,12.4091727882218,0.0236366264682886
"199","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",385.58,168.51,1.14445488365396,7.46202720248972,0.00679161405052495
"200","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",385.71,213.67,1.00473941351008,4.90824876805276,0.00470229519122984
"201","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",385.83,209.99,0.033778018852953,44.8947537451613,0.000160855368603043
"202","C12","CPCRW","saturation","SATURATION_INCUBATION",290.12,232.06,7.59198267481516,11.5762406497044,0.0327156023218787
"203","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",385.91,320.73,1.83853959873534,3.56582903890602,0.00573235930139165
"204","C15","CPCRW","saturation","SATURATION_INCUBATION",290.13,156.34,1.42915410263466,51.223473990729,0.00914132085604871
"205","C14","CPCRW","saturation","SATURATION_INCUBATION",289.77,233.1,1.75259504211253,2.87354723349455,0.00751864024930301
"206","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",385.91,278.9,1.55151549675004,3.6262674805756,0.00556298134367169
"207","C13","CPCRW","saturation","SATURATION_INCUBATION",290.43,138.96,3.64641792349294,20.3706569007463,0.0262407737729774
"208","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",504.2,209.99,12.9537960197487,52.1967244811852,0.0616876804597778
"209","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",504.12,168.51,1.85477433548336,8.76678626562068,0.0110069095928037
