SampleID,Site,Treatment,HeadSpace_Ht_cm,soil_pH_water_airdried,DryMass_SoilOnly_g,DryMass_NONsoil_ALL_g,VolumeSoil_cm3,rownum,TREATMENT_PHASE,sequence_valve,Picarro_start,Picarro_stop,Total_core_mass_pot_pie_pans_g,Additional_Wt_toRemove,picarro_records
C19,CPCRW,field_moist,0,5.22,320.73,109.36,327.5,334,FIELD_MOIST_INCUBATION,13,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,532.81,NA,55
C20,CPCRW,field_moist,0,4.96,278.9,150.95,302.5,335,FIELD_MOIST_INCUBATION,7,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,522.75,NA,55
C11,CPCRW,sat_II,3,NA,150.55,249.76,206.69,336,SATURATION_INCUBATION,1,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,537.99,NA,55
C12,CPCRW,sat_II,3,NA,232.06,137.83,171.69,337,SATURATION_INCUBATION,11,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,538.29,NA,55
C13,CPCRW,sat_II,1,NA,138.96,296.76,186.9,338,SATURATION_INCUBATION,15,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,602.44,NA,55
C14,CPCRW,sat_II,1.5,NA,233.1,151.38,235.09,339,SATURATION_INCUBATION,8,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,595.4,NA,55
C15,CPCRW,sat_II,5,4.77,156.34,112.97,94.48,340,SATURATION_INCUBATION,5,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,512.22,NA,55
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,341,DROUGHT_PRE_INCUBATION,3,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,493.97,NA,55
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,342,DROUGHT_PRE_INCUBATION,4,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,363.46,NA,55
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,343,DROUGHT_PRE_INCUBATION,10,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,330.91,NA,55
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,344,DROUGHT_PRE_INCUBATION,14,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,329.78,NA,55
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,345,DROUGHT_PRE_INCUBATION,6,2016-11-03T17:50:00Z,2016-11-03T23:05:00Z,345.06,NA,55
C11,CPCRW,sat_II,3,NA,150.55,249.76,206.69,347,SATURATION_INCUBATION,4,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,564.62,NA,90
C12,CPCRW,sat_II,3,NA,232.06,137.83,171.69,348,SATURATION_INCUBATION,1,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,533.46,NA,90
C13,CPCRW,sat_II,1,NA,138.96,296.76,186.9,349,SATURATION_INCUBATION,7,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,613.52,NA,90
C14,CPCRW,sat_II,1.5,NA,233.1,151.38,235.09,350,SATURATION_INCUBATION,10,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,585.31,NA,90
C15,CPCRW,sat_II,5,4.77,156.34,112.97,94.48,351,SATURATION_INCUBATION,11,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,497.86,NA,90
C16,CPCRW,field_moist,0,4.89,213.67,124.03,318.5,352,FIELD_MOIST_INCUBATION,14,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,419.76,NA,90
C17,CPCRW,field_moist,3,4.99,209.99,129.62,174.69,353,FIELD_MOIST_INCUBATION,13,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,413.93,NA,90
C18,CPCRW,field_moist,0,4.9,168.51,143.44,312.5,354,FIELD_MOIST_INCUBATION,9,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,395.03,NA,90
C19,CPCRW,field_moist,0,5.22,320.73,109.36,327.5,355,FIELD_MOIST_INCUBATION,2,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,534.63,NA,90
C20,CPCRW,field_moist,0,4.96,278.9,150.95,302.5,356,FIELD_MOIST_INCUBATION,6,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,523.54,NA,90
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,357,DROUGHT_INCUBATION,5,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,489.62,NA,90
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,374,DROUGHT_INCUBATION,3,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,356.33,NA,90
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,406,DROUGHT_INCUBATION,12,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,330.05,NA,90
